分类: 📺央视频道, 名称: CCTV1综合, 有效: 12, IPv4: 359, IPv6: 0, 最小延迟: 135 ms, 最高速率: 31.49 M/s, 平均速率: 2.19 M/s, 最高分辨率: 3840x2160, 平均帧率: 30.96, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV2财经, 有效: 10, IPv4: 337, IPv6: 0, 最小延迟: 472 ms, 最高速率: 7.07 M/s, 平均速率: 2.86 M/s, 最高分辨率: 3840x2160, 平均帧率: 33.93, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV3综艺, 有效: 10, IPv4: 333, IPv6: 0, 最小延迟: 285 ms, 最高速率: 5.07 M/s, 平均速率: 3.47 M/s, 最高分辨率: 3840x2160, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV4中文国际, 有效: 12, IPv4: 380, IPv6: 0, 最小延迟: 289 ms, 最高速率: 16.93 M/s, 平均速率: 3.15 M/s, 最高分辨率: 3840x2160, 平均帧率: 30.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV5体育, 有效: 12, IPv4: 353, IPv6: 0, 最小延迟: 386 ms, 最高速率: 8.07 M/s, 平均速率: 4.26 M/s, 最高分辨率: 3840x2160, 平均帧率: 28.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV5+体育赛事, 有效: 5, IPv4: 195, IPv6: 0, 最小延迟: 335 ms, 最高速率: 7.25 M/s, 平均速率: 2.68 M/s, 最高分辨率: 3840x2160, 平均帧率: 36.36, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV6电影, 有效: 10, IPv4: 328, IPv6: 0, 最小延迟: 107 ms, 最高速率: 35.97 M/s, 平均速率: 3.72 M/s, 最高分辨率: 3840x2160, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV7国防军事, 有效: 12, IPv4: 311, IPv6: 0, 最小延迟: 300 ms, 最高速率: 6.38 M/s, 平均速率: 2.19 M/s, 最高分辨率: 3840x2160, 平均帧率: 34.21, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV8电视剧, 有效: 12, IPv4: 331, IPv6: 0, 最小延迟: 340 ms, 最高速率: 22.86 M/s, 平均速率: 4.87 M/s, 最高分辨率: 3840x2160, 平均帧率: 28.41, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV9纪录, 有效: 8, IPv4: 324, IPv6: 0, 最小延迟: 555 ms, 最高速率: 14.06 M/s, 平均速率: 7.10 M/s, 最高分辨率: 3840x2160, 平均帧率: 34.21, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV10科教, 有效: 9, IPv4: 327, IPv6: 0, 最小延迟: 146 ms, 最高速率: 31.20 M/s, 平均速率: 3.43 M/s, 最高分辨率: 3840x2160, 平均帧率: 32.83, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV11戏曲, 有效: 8, IPv4: 243, IPv6: 0, 最小延迟: 373 ms, 最高速率: 8.02 M/s, 平均速率: 3.50 M/s, 最高分辨率: 3840x2160, 平均帧率: 36.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV12社会与法, 有效: 9, IPv4: 285, IPv6: 0, 最小延迟: 336 ms, 最高速率: 9.48 M/s, 平均速率: 2.32 M/s, 最高分辨率: 3840x2160, 平均帧率: 34.62, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV13新闻, 有效: 10, IPv4: 253, IPv6: 0, 最小延迟: 335 ms, 最高速率: 7.40 M/s, 平均速率: 3.52 M/s, 最高分辨率: 3840x2160, 平均帧率: 34.21, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV14少儿, 有效: 9, IPv4: 270, IPv6: 0, 最小延迟: 120 ms, 最高速率: 28.50 M/s, 平均速率: 3.25 M/s, 最高分辨率: 3840x2160, 平均帧率: 32.14, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV16奥林匹克, 有效: 12, IPv4: 107, IPv6: 0, 最小延迟: 418 ms, 最高速率: 17.72 M/s, 平均速率: 7.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV17农业农村, 有效: 12, IPv4: 174, IPv6: 0, 最小延迟: 356 ms, 最高速率: 39.35 M/s, 平均速率: 12.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.42, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV15音乐, 有效: 8, IPv4: 248, IPv6: 0, 最小延迟: 356 ms, 最高速率: 7.26 M/s, 平均速率: 3.85 M/s, 最高分辨率: 3840x2160, 平均帧率: 32.65, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CETV3教育服务, 有效: 1, IPv4: 9, IPv6: 0, 最小延迟: 354 ms, 最高速率: 5.22 M/s, 平均速率: 2.03 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CETV1综合教育, 有效: 12, IPv4: 61, IPv6: 0, 最小延迟: 368 ms, 最高速率: 17.17 M/s, 平均速率: 8.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 💰央视付费, 名称: CETV4职业教育, 有效: 4, IPv4: 47, IPv6: 0, 最小延迟: 524 ms, 最高速率: 9.14 M/s, 平均速率: 5.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CETV早期教育, 有效: 2, IPv4: 5, IPv6: 0, 最小延迟: 522 ms, 最高速率: 5.18 M/s, 平均速率: 4.10 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 💰央视付费, 名称: CCTV8K, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费, 名称: CCTV4欧洲, 有效: 0, IPv4: 10, IPv6: 0, 最小延迟: 2823 ms, 最高速率: 0.96 M/s, 平均速率: 0.00 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CCTV4美洲, 有效: 0, IPv4: 10, IPv6: 0, 最小延迟: 2785 ms, 最高速率: 0.81 M/s, 平均速率: 0.00 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CETV2空中课堂, 有效: 0, IPv4: 33, IPv6: 0, 最小延迟: 514 ms, 最高速率: 5.12 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: 老故事, 有效: 0, IPv4: 27, IPv6: 0, 最小延迟: 518 ms, 最高速率: 5.26 M/s, 平均速率: 0.00 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CCTV4K, 有效: 5, IPv4: 12, IPv6: 0, 最小延迟: 438 ms, 最高速率: 4.63 M/s, 平均速率: 3.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: 中学生, 有效: 1, IPv4: 26, IPv6: 0, 最小延迟: 1294 ms, 最高速率: 0.66 M/s, 平均速率: 0.66 M/s, 最高分辨率: 3840x2160, 平均帧率: 24.50, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: 新科动漫, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费, 名称: CCTV文化精品, 有效: 8, IPv4: 14, IPv6: 0, 最小延迟: 399 ms, 最高速率: 6.83 M/s, 平均速率: 4.48 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: 发现之旅, 有效: 1, IPv4: 28, IPv6: 0, 最小延迟: 502 ms, 最高速率: 5.22 M/s, 平均速率: 1.08 M/s, 最高分辨率: 3840x2160, 平均帧率: 24.80, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CCTV央视台球, 有效: 4, IPv4: 8, IPv6: 0, 最小延迟: 390 ms, 最高速率: 7.52 M/s, 平均速率: 5.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CCTV高尔夫网球, 有效: 4, IPv4: 7, IPv6: 0, 最小延迟: 361 ms, 最高速率: 7.92 M/s, 平均速率: 5.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CCTV风云音乐, 有效: 6, IPv4: 16, IPv6: 0, 最小延迟: 344 ms, 最高速率: 7.94 M/s, 平均速率: 5.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.29, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CCTV风云剧场, 有效: 6, IPv4: 13, IPv6: 0, 最小延迟: 513 ms, 最高速率: 7.37 M/s, 平均速率: 4.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CCTV电视指南, 有效: 2, IPv4: 8, IPv6: 0, 最小延迟: 570 ms, 最高速率: 5.53 M/s, 平均速率: 3.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CCTV风云足球, 有效: 7, IPv4: 16, IPv6: 0, 最小延迟: 542 ms, 最高速率: 7.67 M/s, 平均速率: 5.89 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.56, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CCTV第一剧场, 有效: 6, IPv4: 28, IPv6: 0, 最小延迟: 358 ms, 最高速率: 8.74 M/s, 平均速率: 5.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.88, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CCTV卫生健康, 有效: 4, IPv4: 6, IPv6: 0, 最小延迟: 359 ms, 最高速率: 4.36 M/s, 平均速率: 2.73 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CCTV兵器科技, 有效: 6, IPv4: 13, IPv6: 0, 最小延迟: 385 ms, 最高速率: 7.19 M/s, 平均速率: 3.71 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.83, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CCTV女性时尚, 有效: 4, IPv4: 11, IPv6: 0, 最小延迟: 1001 ms, 最高速率: 4.88 M/s, 平均速率: 2.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: 中国天气, 有效: 0, IPv4: 21, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费, 名称: 中国交通, 有效: 0, IPv4: 10, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费, 名称: CCTV怀旧剧场, 有效: 6, IPv4: 18, IPv6: 0, 最小延迟: 552 ms, 最高速率: 7.27 M/s, 平均速率: 5.22 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CCTV世界地理, 有效: 6, IPv4: 14, IPv6: 0, 最小延迟: 622 ms, 最高速率: 7.93 M/s, 平均速率: 4.35 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.83, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CGTN新闻, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 2307 ms, 最高速率: 3.06 M/s, 平均速率: 1.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 💰央视付费, 名称: CGTN纪录, 有效: 2, IPv4: 19, IPv6: 0, 最小延迟: 99 ms, 最高速率: 23.10 M/s, 平均速率: 13.78 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CGTN俄语, 有效: 4, IPv4: 19, IPv6: 0, 最小延迟: 86 ms, 最高速率: 37.48 M/s, 平均速率: 22.11 M/s, 最高分辨率: 3840x2160, 平均帧率: 27.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CGTN英语, 有效: 2, IPv4: 43, IPv6: 0, 最小延迟: 688 ms, 最高速率: 5.47 M/s, 平均速率: 3.24 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CGTN法语, 有效: 6, IPv4: 23, IPv6: 0, 最小延迟: 101 ms, 最高速率: 34.35 M/s, 平均速率: 7.83 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 💰央视付费, 名称: CGTN西语, 有效: 3, IPv4: 18, IPv6: 0, 最小延迟: 93 ms, 最高速率: 20.29 M/s, 平均速率: 15.35 M/s, 最高分辨率: 3840x2160, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费, 名称: CGTN阿语, 有效: 3, IPv4: 25, IPv6: 0, 最小延迟: 86 ms, 最高速率: 21.93 M/s, 平均速率: 16.42 M/s, 最高分辨率: 3840x2160, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 9, IPv6: 0, 最小延迟: 10638 ms, 最高速率: 0.13 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广东卫视, 有效: 12, IPv4: 277, IPv6: 0, 最小延迟: 243 ms, 最高速率: 50.97 M/s, 平均速率: 19.02 M/s, 最高分辨率: 3840x2160, 平均帧率: 28.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 7, IPv4: 233, IPv6: 0, 最小延迟: 7 ms, 最高速率: 327.69 M/s, 平均速率: 90.68 M/s, 最高分辨率: 3840x2160, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 大湾区卫视, 有效: 6, IPv4: 49, IPv6: 0, 最小延迟: 7 ms, 最高速率: 307.76 M/s, 平均速率: 101.06 M/s, 最高分辨率: 3840x2160, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 12, IPv4: 280, IPv6: 0, 最小延迟: 391 ms, 最高速率: 22.30 M/s, 平均速率: 5.31 M/s, 最高分辨率: 3840x2160, 平均帧率: 29.41, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 10, IPv4: 265, IPv6: 0, 最小延迟: 146 ms, 最高速率: 26.54 M/s, 平均速率: 5.62 M/s, 最高分辨率: 3840x2160, 平均帧率: 31.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 10, IPv4: 279, IPv6: 0, 最小延迟: 5 ms, 最高速率: 293.47 M/s, 平均速率: 56.42 M/s, 最高分辨率: 3840x2160, 平均帧率: 33.57, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广西卫视, 有效: 6, IPv4: 195, IPv6: 0, 最小延迟: 555 ms, 最高速率: 19.46 M/s, 平均速率: 5.16 M/s, 最高分辨率: 3840x2160, 平均帧率: 29.55, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东南卫视, 有效: 6, IPv4: 224, IPv6: 0, 最小延迟: 9 ms, 最高速率: 29.17 M/s, 平均速率: 3.85 M/s, 最高分辨率: 3840x2160, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 厦门卫视, 有效: 0, IPv4: 36, IPv6: 0, 最小延迟: 503 ms, 最高速率: 5.20 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 海峡卫视, 有效: 4, IPv4: 33, IPv6: 0, 最小延迟: 2762 ms, 最高速率: 1.09 M/s, 平均速率: 0.90 M/s, 最高分辨率: 3840x2160, 平均帧率: 37.13, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 北京卫视, 有效: 7, IPv4: 273, IPv6: 0, 最小延迟: 6 ms, 最高速率: 337.04 M/s, 平均速率: 49.38 M/s, 最高分辨率: 3840x2160, 平均帧率: 34.69, 视频编解码器: h264, 音频编解码器: mp2
