ofiii直播,#genre#
台視,http://59.126.34.145:5000/index.m3u8?pid=4gtv-4gtv066&sd=1080&proxy=true&token=Doubebly
台視新聞,http://59.126.34.145:5000/index.m3u8?pid=4gtv-4gtv051&sd=1080&proxy=true&token=Doubebly
中視,http://59.126.34.145:5000/index.m3u8?pid=4gtv-4gtv040&sd=1080&proxy=true&token=Doubebly
中視新聞,http://59.126.34.145:5000/index.m3u8?pid=4gtv-4gtv074&sd=1080&proxy=true&token=Doubebly
華視,http://59.126.34.145:5000/index.m3u8?pid=4gtv-4gtv041&sd=1080&proxy=true&token=Doubebly
華視新聞,http://59.126.34.145:5000/index.m3u8?pid=4gtv-4gtv052&sd=1080&proxy=true&token=Doubebly
三立新聞iNEWS,http://59.126.34.145:5000/index.m3u8?pid=iNEWS&sd=1080&proxy=true&token=Doubebly
中天新聞台,http://59.126.34.145:5000/index.m3u8?pid=4gtv-4gtv009&sd=1080&proxy=true&token=Doubebly
寰宇新聞台灣台,http://59.126.34.145:5000/index.m3u8?pid=4gtv-4gtv156&sd=1080&proxy=true&token=Doubebly
寰宇新聞台,http://59.126.34.145:5000/index.m3u8?pid=litv-longturn14&sd=1080&proxy=true&token=Doubebly
寰宇財經台,http://59.126.34.145:5000/index.m3u8?pid=4gtv-4gtv158&sd=1080&proxy=true&token=Doubebly
倪珍播新聞,http://59.126.34.145:5000/index.m3u8?pid=nnews-zh&sd=1080&proxy=true&token=Doubebly
倪珍英語新聞,http://59.126.34.145:5000/index.m3u8?pid=nnews-en&sd=1080&proxy=true&token=Doubebly
倪珍越南語新聞,http://59.126.34.145:5000/index.m3u8?pid=nnews-vn&sd=1080&proxy=true&token=Doubebly
好消息,http://59.126.34.145:5000/index.m3u8?pid=litv-ftv16&sd=1080&proxy=true&token=Doubebly
好消息2台,http://59.126.34.145:5000/index.m3u8?pid=litv-ftv17&sd=1080&proxy=true&token=Doubebly
第1商業台,http://59.126.34.145:5000/index.m3u8?pid=4gtv-4gtv104&sd=1080&proxy=true&token=Doubebly
國會頻道1台,http://59.126.34.145:5000/index.m3u8?pid=4gtv-4gtv084&sd=1080&proxy=true&token=Doubebly
國會頻道2台,http://59.126.34.145:5000/index.m3u8?pid=4gtv-4gtv085&sd=1080&proxy=true&token=Doubebly
ELTV生活英語台,http://59.126.34.145:5000/index.m3u8?pid=litv-longturn20&sd=1080&proxy=true&token=Doubebly
Smart知識台,http://59.126.34.145:5000/index.m3u8?pid=litv-longturn19&sd=1080&proxy=true&token=Doubebly
亞洲旅遊台,http://59.126.34.145:5000/index.m3u8?pid=4gtv-4gtv076&sd=1080&proxy=true&token=Doubebly
台灣戲劇台,http://59.126.34.145:5000/index.m3u8?pid=litv-longturn22&sd=1080&proxy=true&token=Doubebly
龍華卡通台,http://59.126.34.145:5000/index.m3u8?pid=litv-longturn01&sd=1080&proxy=true&token=Doubebly
龍華戲劇台,http://59.126.34.145:5000/index.m3u8?pid=litv-longturn18&sd=1080&proxy=true&token=Doubebly
龍華偶像台,http://59.126.34.145:5000/index.m3u8?pid=litv-longturn12&sd=1080&proxy=true&token=Doubebly
龍華日韓台,http://59.126.34.145:5000/index.m3u8?pid=litv-longturn11&sd=1080&proxy=true&token=Doubebly
龍華經典台,http://59.126.34.145:5000/index.m3u8?pid=litv-longturn21&sd=1080&proxy=true&token=Doubebly
龍華電影台,http://59.126.34.145:5000/index.m3u8?pid=litv-longturn03&sd=1080&proxy=true&token=Doubebly
龍華洋片台,http://59.126.34.145:5000/index.m3u8?pid=litv-longturn02&sd=1080&proxy=true&token=Doubebly
東森購物1台,http://59.126.34.145:5000/index.m3u8?pid=4gtv-4gtv102&sd=1080&proxy=true&token=Doubebly
東森購物2台,http://59.126.34.145:5000/index.m3u8?pid=4gtv-4gtv103&sd=1080&proxy=true&token=Doubebly
