央视频道,#genre#
CCTV1,http://go.bkpcp.top/mg/cctv1 
CCTV2,http://go.bkpcp.top/mg/cctv2 
CCTV3,http://go.bkpcp.top/mg/cctv3 
CCTV4,http://go.bkpcp.top/mg/cctv4 
CCTV5,http://go.bkpcp.top/mg/cctv5 
CCTV5+,http://go.bkpcp.top/mg/cctv5p 
CCTV6,http://go.bkpcp.top/mg/cctv6 
CCTV7,http://go.bkpcp.top/mg/cctv7 
CCTV8,http://go.bkpcp.top/mg/cctv8 
CCTV9,http://go.bkpcp.top/mg/cctv9 
CCTV10,http://go.bkpcp.top/mg/cctv10 
CCTV11,http://go.bkpcp.top/mg/cctv11 
CCTV12,http://go.bkpcp.top/mg/cctv12 
CCTV13,http://go.bkpcp.top/mg/cctv13 
CCTV14,http://go.bkpcp.top/mg/cctv14 
CCTV15,http://go.bkpcp.top/mg/cctv15 
CCTV16,http://go.bkpcp.top/mg/cctv16 
CCTV17,http://go.bkpcp.top/mg/cctv17  
卫视频道,#genre#
浙江卫视,http://go.bkpcp.top/mg/zjws 
北京卫视,http://go.bkpcp.top/mg/bjws 
东方卫视,http://go.bkpcp.top/mg/dfws 
江苏卫视,http://go.bkpcp.top/mg/jsws 
湖南卫视,http://go.bkpcp.top/mg/hunws 
广东卫视,http://go.bkpcp.top/mg/gdws 
深圳卫视,http://go.bkpcp.top/mg/szws 
山东卫视,http://go.bkpcp.top/mg/sdws 
河南卫视,http://go.bkpcp.top/mg/hnws 
江西卫视,http://go.bkpcp.top/mg/jxws 
湖北卫视,http://go.bkpcp.top/mg/hubws 
海南卫视,http://go.bkpcp.top/mg/hinws 
陕西卫视,http://go.bkpcp.top/mg/sxws 
兵团卫视,http://go.bkpcp.top/mg/btws 
天津卫视,http://go.bkpcp.top/mg/tjws
河北卫视,http://go.bkpcp.top/mg/hbws
安徽卫视,http://go.bkpcp.top/mg/ahws
辽宁卫视,http://go.bkpcp.top/mg/lnws
吉林卫视,http://go.bkpcp.top/mg/jlws
重庆卫视,http://go.bkpcp.top/mg/cqws
四川卫视,http://go.bkpcp.top/mg/scws
广西卫视,http://go.bkpcp.top/mg/gxws
甘肃卫视,http://go.bkpcp.top/mg/gsws
云南卫视,http://go.bkpcp.top/mg/ynws
贵州卫视,http://go.bkpcp.top/mg/gzws
青海卫视,http://go.bkpcp.top/mg/qhws
东南卫视,http://go.bkpcp.top/mg/dnws
宁夏卫视,http://go.bkpcp.top/mg/nxws
山西卫视,http://106.53.99.30/tv/hot.php?id=sxiws
西藏卫视,http://go.bkpcp.top/mg/xzws
新疆卫视,http://go.bkpcp.top/mg/xjws
黑龙江卫视,http://go.bkpcp.top/mg/hljws 
内蒙古卫视,http://go.bkpcp.top/mg/nmgws
migu直播,#genre#
CCTV1综合,http://47.104.163.156:8123/migu720p.php?id=608807420
CCTV2财经,http://47.104.163.156:8123/migu720p.php?id=631780532
CCTV3综艺,http://47.104.163.156:8123/migu720p.php?id=624878271
CCTV4中文国际,http://47.104.163.156:8123/migu720p.php?id=631780421
CCTV5体育,http://47.104.163.156:8123/migu720p.php?id=641886683
CCTV5+体育赛事,http://47.104.163.156:8123/migu720p.php?id=641886773
CCTV6电影,http://47.104.163.156:8123/migu720p.php?id=624878396
CCTV7国防军事,http://47.104.163.156:8123/migu720p.php?id=673168121
CCTV8电视剧,http://47.104.163.156:8123/migu720p.php?id=624878356
CCTV9纪录,http://47.104.163.156:8123/migu720p.php?id=673168140
CCTV10科教,http://47.104.163.156:8123/migu720p.php?id=624878405
CCTV11戏曲,http://47.104.163.156:8123/migu720p.php?id=667987558
CCTV12社会与法,http://47.104.163.156:8123/migu720p.php?id=673168185
CCTV13新闻,http://47.104.163.156:8123/migu720p.php?id=608807423
CCTV14少儿,http://47.104.163.156:8123/migu720p.php?id=624878440
CCTV15音乐,http://47.104.163.156:8123/migu720p.php?id=673168223
CCTV17农业农村,http://47.104.163.156:8123/migu720p.php?id=673168256
CCTV4欧洲,http://47.104.163.156:8123/migu720p.php?id=608807419
CCTV4美洲,http://47.104.163.156:8123/migu720p.php?id=608807416
CGTN外语纪录,http://47.104.163.156:8123/migu720p.php?id=609006487
CGTN阿拉伯语,http://47.104.163.156:8123/migu720p.php?id=609154345
CGTN西班牙语,http://47.104.163.156:8123/migu720p.php?id=609006450
CGTN法语,http://47.104.163.156:8123/migu720p.php?id=609006476
CGTN俄语,http://47.104.163.156:8123/migu720p.php?id=609006446
老故事,http://47.104.163.156:8123/migu720p.php?id=884121956
中学生,http://47.104.163.156:8123/migu720p.php?id=708869532
CGTN,http://47.104.163.156:8123/migu720p.php?id=609017205
东方卫视,http://47.104.163.156:8123/migu720p.php?id=651632648
江苏卫视,http://47.104.163.156:8123/migu720p.php?id=623899368
广东卫视,http://47.104.163.156:8123/migu720p.php?id=608831231
江西卫视,http://47.104.163.156:8123/migu720p.php?id=783847495
河南卫视,http://47.104.163.156:8123/migu720p.php?id=790187291
陕西卫视,http://47.104.163.156:8123/migu720p.php?id=738910838
大湾区卫视,http://47.104.163.156:8123/migu720p.php?id=608917627
湖北卫视,http://47.104.163.156:8123/migu720p.php?id=947472496
吉林卫视,http://47.104.163.156:8123/migu720p.php?id=947472500
青海卫视,http://47.104.163.156:8123/migu720p.php?id=947472506
东南卫视,http://47.104.163.156:8123/migu720p.php?id=849116810
海南卫视,http://47.104.163.156:8123/migu720p.php?id=947472502
海峡卫视,http://47.104.163.156:8123/migu720p.php?id=849119120
中国农林卫视,http://47.104.163.156:8123/migu720p.php?id=956904896
兵团卫视,http://47.104.163.156:8123/migu720p.php?id=956923145
辽宁卫视,http://47.104.163.156:8123/migu720p.php?id=630291707
上海新闻综合,http://47.104.163.156:8123/migu720p.php?id=651632657
上视东方影视,http://47.104.163.156:8123/migu720p.php?id=617290047
南京新闻综合频道,http://47.104.163.156:8123/migu720p.php?id=838109047
南京教科频道,http://47.104.163.156:8123/migu720p.php?id=838153729
南京十八频道,http://47.104.163.156:8123/migu720p.php?id=838151753
江苏城市频道,http://47.104.163.156:8123/migu720p.php?id=626064714
江苏国际,http://47.104.163.156:8123/migu720p.php?id=626064674
江苏教育,http://47.104.163.156:8123/migu720p.php?id=628008321
江苏影视频道,http://47.104.163.156:8123/migu720p.php?id=626064697
江苏综艺频道,http://47.104.163.156:8123/migu720p.php?id=626065193
公共新闻频道,http://47.104.163.156:8123/migu720p.php?id=626064693
盐城新闻综合,http://47.104.163.156:8123/migu720p.php?id=639731825
淮安新闻综合,http://47.104.163.156:8123/migu720p.php?id=639731826
泰州新闻综合,http://47.104.163.156:8123/migu720p.php?id=639731818
连云港新闻综合,http://47.104.163.156:8123/migu720p.php?id=639731715
